EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ
764, 1589, 1832, 1949, 1993, 2117, 0, 5, 3, 69
764, 1589, 1832, 1949, 1993, 2117, 0, 7, 1, 71
767, 1609, 1903, 2147, 2241, 2217, 0, 7, 1, 71
767, 1609, 1903, 2147, 2241, 2217, 0, 5, 254, 71
769, 1276, 1884, 2130, 2231, 2202, 0, 5, 254, 71
769, 1276, 1884, 2130, 2231, 2202, 0, 5, 254, 71
758, 1525, 1980, 2082, 2071, 2034, 0, 3, 254, 68
758, 1525, 1980, 2082, 2071, 2034, 0, 3, 254, 68
762, 1574, 1807, 1858, 2024, 2182, 0, 6, 1, 65
762, 1574, 1807, 1858, 2024, 2182, 0, 6, 1, 65
756, 1564, 1732, 1938, 1920, 1883, 0, 6, 1, 65
756, 1564, 1732, 1938, 1920, 1883, 0, 10, 2, 65
750, 1551, 1685, 1790, 2093, 2038, 0, 10, 2, 65
750, 1551, 1685, 1790, 2093, 2038, 0, 11, 0, 67
750, 1551, 1675, 1745, 2028, 2187, 0, 11, 0, 67
750, 1551, 1675, 1745, 2028, 2187, 0, 11, 0, 67
753, 1560, 1695, 1801, 1838, 1987, 0, 6, 1, 66
753, 1560, 1695, 1801, 1838, 1987, 0, 6, 1, 66
760, 1576, 1762, 2014, 2127, 2181, 0, 5, 2, 66
760, 1576, 1762, 2014, 2127, 2181, 0, 5, 2, 66
764, 1589, 1835, 1964, 2029, 2234, 0, 5, 2, 66
764, 1589, 1835, 1964, 2029, 2234, 0, 7, 255, 67
768, 1261, 1833, 1934, 1912, 2216, 0, 7, 255, 67
768, 1261, 1833, 1934, 1912, 2216, 0, 5, 255, 67
762, 1534, 1990, 2081, 2011, 2208, 0, 5, 255, 67
762, 1534, 1990, 2081, 2011, 2208, 0, 5, 255, 67
770, 1261, 1868, 2063, 1965, 2055, 0, 4, 1, 66
770, 1261, 1868, 2063, 1965, 2055, 0, 4, 1, 66
754, 1510, 1933, 1907, 2145, 2234, 0, 7, 0, 68
754, 1510, 1933, 1907, 2145, 2234, 0, 7, 0, 68
759, 1572, 1785, 2102, 2123, 2208, 0, 7, 0, 68
759, 1572, 1785, 2102, 2123, 2208, 0, 9, 255, 68
753, 1561, 1729, 1977, 2062, 1993, 0, 9, 255, 68
753, 1561, 1729, 1977, 2062, 1993, 0, 7, 0, 66
